ukcode,jycode,inputcode,chabbr
1114435,455,JGJ,000799,酒 鬼 酒
1114436,503,AKKC,000868,安凯客车
1114437,113,YTG,000088,盐 田 港
1114438,450,HWCM,000793,华闻传媒
1114439,441,CJZQ,000783,长江证券
1114440,420,XHZY,000756,新华制药
1114441,451,YLH,000795,英 洛 华
1114442,469,ZHNY,000816,智慧农业
1114443,449,YHGF,000792,盐湖股份
1114444,109,HQCA,000069,华侨城Ａ
1114446,446,WNQ,000789,万 年 青
1114447,501,SXYX,000863,三湘印象
1114448,487,XMKJ,000836,鑫茂科技
1114449,476,CSDZ,000823,超声电子
1114450,448,GSDT,000791,甘肃电投
1114451,471,FDHG,000818,方大化工
1114452,517,EMSA,000888,峨眉山Ａ
1114453,490,ZXGA,000839,中信国安
1114455,491,CDLL,000848,承德露露
1114456,105,ZXTX,000063,中兴通讯
1114457,530,GNGF,000899,赣能股份
1114458,481,TYKG,000829,天音控股
1114459,518,MYTX,000889,茂业通信
1114460,527,AGGF,000898,鞍钢股份
1114461,458,BJWH,000802,北京文化
1114462,426,BGBC,000761,本钢板材
1114463,525,YNKG,001896,豫能控股
1114464,515,HNGS,000886,海南高速
1114465,454,ZSYY,000798,中水渔业
1114466,175,YGSA,000429,粤高速Ａ
1114467,478,QDSD,000826,启迪桑德
1114468,459,STJY,000803,*ST 金宇
1114469,507,XXW,000876,新 希 望
1114470,447,THJK,000790,泰合健康
1114471,510,WCZJ,000880,潍柴重机
1114472,462,YLGF,000807,云铝股份
1114473,461,YHSW,000806,银河生物
1114474,114,SZJC,000089,深圳机场
1114475,496,WLY,000858,五 粮 液
1114476,457,SCJZ,000801,四川九洲
1114478,513,HBNY,000883,湖北能源
1114479,467,DZJK,000813,德展健康
1114480,465,YTBL,000811,烟台冰轮
1114483,464,CWSZ,000810,创维数字
1114484,509,YNTY,000878,云南铜业
1114485,106,BFGJ,000065,北方国际
1114486,468,MLY,000815,美 利 云
1114487,493,GHGF,000851,高鸿股份
1114488,463,STXC,000809,*ST 新城
1114489,512,HLGF,000882,华联股份
1114490,466,SXJY,000812,陕西金叶
1114491,474,JSQJ,000821,京山轻机
1114492,473,SWJN,000820,神雾节能
1114493,475,SDHH,000822,山东海化
1114494,482,LXHG,000830,鲁西化工
1114495,495,JDZB,000856,冀东装备
1114497,511,ZGHJ,000881,中广核技
1114498,483,WKXT,000831,五矿稀土
1114499,500,YXNY,000862,银星能源
1114500,265,WFGK,000581,威孚高科
1114501,488,QCJC,000837,秦川机床
1114502,492,HMGF,000850,华茂股份
1114504,477,TGBX,000825,太钢不锈
1114505,499,HYGF,000861,海印股份
1114506,498,SXNY,000860,顺鑫农业
1114507,485,GTGF,000833,贵糖股份
1114508,497,GFSY,000859,国风塑业
1114509,494,SHJX,000852,石化机械
1114510,516,ZDGF,000887,中鼎股份
1114511,522,SHFZ,000895,双汇发展
1114512,112,HWSW,000078,海王生物
1114513,521,DLGJ,000893,东凌国际
1114514,508,TSGF,000877,天山股份
1114515,520,HRSJ,000892,欢瑞世纪
1114516,519,FES,000890,法 尔 胜
1114517,531,XDTZ,000900,现代投资
1114518,537,JFYY,000908,景峰医药
1114519,556,ZGGJ,000928,中钢国际
1114520,514,TLSN,000885,同力水泥
1114521,545,DGCM,000917,电广传媒
1114522,532,HTKJ,000901,航天科技
1114523,533,XYF,000902,新 洋 丰
1114524,534,YNDL,000903,云内动力
1114525,526,JBFZ,000897,津滨发展
1114526,535,XMGW,000905,厦门港务
1114527,538,SYKJ,000909,数源科技
1114528,542,QJMT,000913,钱江摩托
1114529,540,NNTY,000911,南宁糖业
1114530,541,LTH,000912,泸 天 化
1114531,543,SDHT,000915,山大华特
1114532,553,ZHKJ,000925,众合科技
1114533,548,NFHT,000920,南方汇通
1114534,551,STJD,000922,*ST 佳电
1114535,554,FXGF,000926,福星股份
1114536,557,LZHH,000929,兰州黄河
1114537,486,CCDM,000835,长城动漫
1114538,539,DYSX,000910,大亚圣象
1114539,536,ZSZT,000906,浙商中拓
1114540,558,ZLSH,000930,中粮生化
1114541,560,ZGC,000931,中 关 村
1114542,549,HXKL,000921,海信科龙
1114543,552,HBXG,000923,河北宣工
1114544,546,JKC,000918,嘉 凯 城
1114545,115,TJJT,000090,天健集团
1114546,555,YQXL,000927,一汽夏利
1114547,561,STHL,000932,*ST 华菱
1114548,564,HXGF,000936,华西股份
1114549,563,SCSM,000935,四川双马
1114550,562,SHGF,000933,神火股份
1114551,566,JZNY,000937,冀中能源
1114552,571,STJF,000950,*ST 建峰
1114553,568,KDST,000939,凯迪生态
1114554,544,HBGS,000916,华北高速
1114555,569,NTXX,000948,南天信息
1114556,570,XXHX,000949,新乡化纤
1114557,567,ZGGF,000938,紫光股份
1114559,573,GJYY,000952,广济药业
1114560,547,JLYY,000919,金陵药业
1114561,572,ZGZQ,000951,中国重汽
1114562,574,STHH,000953,*ST 河化
1114563,575,XLKG,000955,欣龙控股
1114564,579,SGGF,000959,首钢股份
1114565,578,DFNY,000958,东方能源
1114566,577,ZTKC,000957,中通客车
1114567,583,DFTY,000962,东方钽业
1114568,584,HDYY,000963,华东医药
1114569,581,XYGF,000960,锡业股份
1114570,582,ZNJS,000961,中南建设
1114571,614,HRSJ,000999,华润三九
1114572,586,CYDL,000966,长源电力
1114573,587,YFHJ,000967,盈峰环境
1114574,585,TBJJ,000965,天保基建
1114575,590,ZKSH,000970,中科三环
1114576,591,GSKG,000971,高升控股
1114577,111,TFXX,000070,特发信息
1114578,597,GLLY,000978,桂林旅游
1114579,593,FSKJ,000973,佛塑科技
1114580,589,ATKJ,000969,安泰科技
1114581,141,DFSC,000301,东方市场
1114582,595,CHGF,000976,春晖股份
1114583,605,HGKJ,000988,华工科技
1114584,596,LCXX,000977,浪潮信息
1114585,594,YTZY,000975,银泰资源
1114586,599,JMGF,000980,金马股份
1114587,598,ZHGF,000979,中弘股份
1114588,588,LYKG,000968,蓝焰控股
1114589,600,YYGF,000981,银亿股份
1114590,606,JZT,000989,九 芝 堂
1114591,601,STZR,000982,*ST 中绒
1114592,607,CZGF,000990,诚志股份
1114593,604,YXJK,000987,越秀金控
1114594,611,ZGZQ,000996,中国中期
1114595,125,CSGF,000158,常山股份
1114596,116,GJNY,000096,广聚能源
1114597,602,XSMD,000983,西山煤电
1114598,603,DQHK,000985,大庆华科
1114599,117,ZXHZ,000099,中信海直
1114600,609,MDDL,000993,闽东电力
1114601,610,STHT,000995,*ST 皇台
1114602,612,XDL,000997,新 大 陆
1114603,119,YHJK,000150,宜华健康
1114604,123,HSCM,000156,华数传媒
1114605,120,ZCGF,000151,中成股份
1114606,121,FYYY,000153,丰原药业
1114607,126,GJSY,000159,国际实业
1114608,122,STCH,000155,*ST 川化
1114609,592,STZJ,000972,*ST 中基
1114610,124,ZLZK,000157,中联重科
1114611,504,ZYA,000869,张  裕Ａ
1114612,178,CMZY,000488,晨鸣纸业
1114613,613,LPGK,000998,隆平高科
1114614,399,LTA,000726,鲁 泰 Ａ
1114615,397,JDFA,000725,京东方Ａ
1114616,506,JDGF,000875,吉电股份
1114617,118,TCLJT,000100,TCL 集团
1114618,615,XHC,002001,新 和 成
1114619,2676,WXGF,002003,伟星股份
1114620,2682,JGKJ,002006,精功科技
1114621,2674,HDXY,002002,鸿达兴业
1114622,2684,HLSW,002007,华兰生物
1114623,2680,DHRD,002005,德豪润达
1114624,2686,DZJG,002008,大族激光
1114625,2678,HBJK,002004,华邦健康
1114626,2688,TQGF,002009,天奇股份
1114627,2690,CHZL,002010,传化智联
1114628,2692,DAHJ,002011,盾安环境
1114629,2696,ZHJD,002013,中航机电
1114630,2694,KEGF,002012,凯恩股份
1114631,2698,YXGF,002014,永新股份
1114632,2702,SRZY,002016,世荣兆业
1114633,2700,XKHB,002015,霞客环保
1114634,2707,YFYY,002019,亿帆医药
1114635,2643,DXHP,002017,东信和平
1114636,2705,HXGJ,002018,华信国际
1114637,2709,JXYY,002020,京新药业
1114638,2711,ZJZY,002021,中捷资源
1114639,2717,SNYS,002024,苏宁云商
1114640,2713,KHSW,002022,科华生物
1114641,2715,HTGX,002023,海特高新
1114642,2719,HTDQ,002025,航天电器
1114643,2721,SDWD,002026,山东威达
1114644,2723,FZCM,002027,分众传媒
1114645,2725,SYDQ,002028,思源电气
1114646,2727,QPL,002029,七 匹 狼
1114647,2729,DAJY,002030,达安基因
1114648,2731,JLZN,002031,巨轮智能
1114649,2733,SBE,002032,苏 泊 尔
1114650,2735,LJLY,002033,丽江旅游
1114651,2737,MXD,002034,美 欣 达
1114652,2739,HDGF,002035,华帝股份
1114653,2741,LCDZ,002036,联创电子
1114654,2743,JLFZ,002037,久联发展
1114655,2745,SLYY,002038,双鹭药业
1114656,3062,QYDL,002039,黔源电力
1114657,3081,NJG,002040,南 京 港
1114658,3118,DHZY,002041,登海种业
1114659,3134,HFSF,002042,华孚色纺
1114660,3136,TBB,002043,兔 宝 宝
1114661,3151,MNJK,002044,美年健康
1114662,3157,GGDQ,002045,国光电器
1114663,3234,ZYKJ,002046,轴研科技
1114664,3244,BYGF,002047,宝鹰股份
1114665,3248,NBHX,002048,宁波华翔
1114666,3252,ZGGX,002049,紫光国芯
1114667,3290,SHZK,002050,三花智控
1114668,4326,ZGGJ,002051,中工国际
1114669,4351,YNNT,002053,云南能投
1114670,4347,TZDZ,002052,同洲电子
1114671,4423,DRDZ,002055,得润电子
1114672,4402,DMHG,002054,德美化工
1114673,4427,HDDC,002056,横店东磁
1114674,4435,ZGTY,002057,中钢天源
1114675,4437,WET,002058,威 尔 泰
1114676,4444,YNLY,002059,云南旅游
1114677,4459,YSD,002060,粤 水 电
1114678,4493,JSHG,002061,江山化工
1114679,4497,HRJS,002062,宏润建设
1114680,4506,DHRJ,002065,东华软件
1114681,4499,YGRJ,002063,远光软件
1114682,4503,HFAL,002064,华峰氨纶
1114683,4511,RTKJ,002066,瑞泰科技
1114684,4572,HMGF,002068,黑猫股份
1114685,4569,JXZY,002067,景兴纸业
1114686,4594,ZZD,002069,獐 子 岛
1114687,4615,CCYS,002071,长城影视
1114688,4604,STZH,002070,*ST 众和
1114689,4687,RKGF,002073,软控股份
1114690,4699,GXGK,002074,国轩高科
1114691,4619,KRD,002072,凯 瑞 德
1114692,4721,SGGF,002075,沙钢股份
1114693,4722,XLT,002076,雪 莱 特
1114694,4772,TYZY,002078,太阳纸业
1114695,4774,DGGF,002077,大港股份
1114696,4771,SZGD,002079,苏州固锝
1114697,4793,DLXC,002082,栋梁新材
1114698,4792,JTL,002081,金 螳 螂
1114699,4791,ZCKJ,002080,中材科技
1114700,4813,HOWY,002084,海鸥卫浴
1114701,4812,FRGF,002083,孚日股份
1114702,4816,DFHY,002086,东方海洋
1114703,4815,WFAW,002085,万丰奥威
1114704,4833,XYFZ,002087,新野纺织
1114705,4835,XHY,002089,新 海 宜
1114706,4834,LYJN,002088,鲁阳节能
1114707,4853,ZTHX,002092,中泰化学
1114708,4852,JSGT,002091,江苏国泰
1114709,4851,JZKJ,002090,金智科技
1114710,4876,QDJW,002094,青岛金王
1114711,4875,SYB,002095,生 意 宝
1114712,4877,GMKJ,002093,国脉科技
1114713,4883,NLMB,002096,南岭民爆
1114714,4882,SHZN,002097,山河智能
1114715,4884,XXGF,002098,浔兴股份
1114716,4881,TKSW,002100,天康生物
1114717,4880,HXYY,002099,海翔药业
1114718,4878,GFGF,002102,冠福股份
1114719,4879,GDHT,002101,广东鸿图
1114720,4908,HBGF,002104,恒宝股份
1114721,4901,GBGF,002103,广博股份
1114722,4902,XLJK,002105,信隆健康
1114723,4931,LBGK,002106,莱宝高科
1114724,4930,CZMZ,002108,沧州明珠
1114725,4947,WHYY,002107,沃华医药
1114726,4948,WHGT,002111,威海广泰
1114727,4909,SGMG,002110,三钢闽光
1114728,4934,XHGF,002109,兴化股份
1114729,4972,SBKJ,002112,三变科技
1114730,4991,TRSY,002113,天润数娱
1114731,4986,SWTX,002115,三维通信
1114732,4985,LPXD,002114,罗平锌电
1114733,5002,ZGHC,002116,中国海诚
1114734,5147,ZXYY,002118,紫鑫药业
1114735,5003,DGGF,002117,东港股份
1114736,5159,KQDZ,002119,康强电子
1114737,4990,YDGF,002120,韵达股份
1114738,4971,KLDZ,002121,科陆电子
1114739,5199,TMGF,002122,天马股份
1114740,5185,MWRX,002123,梦网荣信
1114741,5191,XTDH,002125,湘潭电化
1114742,5171,TBGF,002124,天邦股份
1114743,5278,NJDS,002127,南极电商
1114744,5245,YLGF,002126,银轮股份
1114745,5317,LTMY,002128,露天煤业
1114746,5263,WEHC,002130,沃尔核材
1114747,5264,ZHGF,002129,中环股份
1114748,5279,LOGF,002131,利欧股份
1114749,5311,GYJT,002133,广宇集团
1114750,5285,HXKJ,002132,恒星科技
1114751,5312,WCDL,000338,潍柴动力
1114752,5300,STPL,002134,*ST 普林
1114753,5301,DNWJ,002135,东南网架
1114754,5310,AND,002136,安 纳 达
1114755,5483,SLDZ,002138,顺络电子
1114756,5481,MDSZ,002137,麦达数字
1114757,5357,TBGF,002139,拓邦股份
1114758,5544,DHKJ,002140,东华科技
1114759,5684,NBYH,002142,宁波银行
1114760,5666,YJCM,002143,印纪传媒
1114761,5673,XFKG,002141,贤丰控股
1114762,5773,ZHTB,002145,中核钛白
1114763,5665,HDGK,002144,宏达高科
1114764,5722,XGYC,002147,新光圆成
1114765,5701,RSFZ,002146,荣盛发展
1114766,5703,BWTX,002148,北纬通信
1114767,5707,TRZB,002150,通润装备
1114768,5709,XBCL,002149,西部材料
1114769,5690,SJXX,002153,石基信息
1114770,5708,GDYT,002152,广电运通
1114771,5734,BDXT,002151,北斗星通
1114772,6013,BXN,002154,报 喜 鸟
1114773,5733,HNHJ,002155,湖南黄金
1114774,5735,TFWD,002156,通富微电
1114775,5775,HZJJ,002158,汉钟精机
1114776,5702,STSD,002159,三特索道
1114777,5723,ZBKJ,002157,正邦科技
1114778,6011,YWG,002161,远 望 谷
1114779,6010,CLGF,002160,常铝股份
1114780,6019,YXJK,002162,悦心健康
1114781,6018,NBDL,002164,宁波东力
1114782,6020,ZHSX,002163,中航三鑫
1114783,6029,DFGY,002167,东方锆业
1114784,6046,HBL,002165,红 宝 丽
1114785,6048,LYSW,002166,莱茵生物
1114786,6021,ZGDQ,002169,智光电气
1114787,5776,SZHC,002168,深圳惠程
1114788,5522,BTGF,002170,芭田股份
1114789,6095,AYKJ,002172,澳洋科技
1114790,6031,CJXC,002171,楚江新材
1114791,6103,YZWL,002174,游族网络
1114792,6115,CXYL,002173,创新医疗
1114793,6139,JTDJ,002176,江特电机
1114794,6030,DFWL,002175,东方网络
1114795,6152,YYGF,002177,御银股份
1114796,6186,YHZN,002178,延华智能
1114797,6151,ZHGD,002179,中航光电
1114798,6178,NSD,002180,纳 思 达
1114799,6201,YHJS,002182,云海金属
1114800,6196,YYT,002183,怡 亚 通
1114801,6202,HDKZ,002184,海得控制
1114802,1088,YCM,002181,粤 传 媒
1114803,6254,QJD,002186,全 聚 德
1114804,6197,HTKJ,002185,华天科技
1114805,6234,BSZX,002188,巴士在线
1114806,6235,GBGF,002187,广百股份
1114807,6333,CFJC,002190,成飞集成
1114808,6232,LDGD,002189,利达光电
1114809,6334,JJGF,002191,劲嘉股份
1114810,6047,RJGF,002192,融捷股份
1114811,6336,WHFG,002194,武汉凡谷
1114812,6285,SDRY,002193,山东如意
1114813,6337,ESSW,002195,二三四五
1114814,6281,FZDJ,002196,方正电机
1114815,6374,ZTDZ,002197,证通电子
1114816,6363,JYZY,002198,嘉应制药
1114817,6354,DJDZ,002199,东晶电子
1114818,6353,YTST,002200,云投生态
1114819,6392,JDXC,002201,九鼎新材
1114820,6411,JFKJ,002202,金风科技
1114821,6432,DLZG,002204,大连重工
1114822,6404,HLGF,002203,海亮股份
1114823,6478,HLD,002206,海 利 得
1114824,6446,GTGF,002205,国统股份
1114825,6471,STZY,002207,*ST 准油
1114826,6284,HFCJ,002208,合肥城建
1114827,6511,FMGJ,002210,飞马国际
1114828,6487,DYL,002209,达 意 隆
